BUSINESS_ID,BUSINESS_NAME,CITY,POSTAL_CODE,STATE,ADDRESS,REVIEW_COUNT,STARS,CATEGORIES
Pns2l4eNsfO8kk83dixA6A,"Abby Rappoport, LAC, CMQ",Santa Barbara,93101,CA,"1616 Chapala St, Ste 2",7,5,"Doctors, Traditional Chinese Medicine, Naturopathic/Holistic, Acupuncture, Health & Medical, Nutritionists"
mpf3x-BjTdTEA3yCZrAYPw,The UPS Store,Affton,63123,MO,87 Grasso Plaza Shopping Center,15,3,"Shipping Centers, Local Services, Notaries, Mailbox Centers, Printing Services"
tUFrWirKiKi_TAnsVWINQQ,Target,Tucson,85711,AZ,5255 E Broadway Blvd,22,4,"Department Stores, Shopping, Fashion, Home & Garden, Electronics, Furniture Stores"
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,19107,PA,935 Race St,80,4,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries"
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,Green Lane,18054,PA,101 Walnut St,13,5,"Brewpubs, Breweries, Food"
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,Ashland City,37015,TN,615 S Main St,6,2,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants"
n_0UpQx1hsNbnPUSlodU8w,Famous Footwear,Brentwood,63144,MO,"8522 Eager Road, Dierbergs Brentwood Point",13,3,"Sporting Goods, Fashion, Shoe Stores, Shopping, Sports Wear, Accessories"
qkRM_2X51Yqxk3btlwAQIg,Temple Beth-El,St. Petersburg,33707,FL,400 Pasadena Ave S,5,4,"Synagogues, Religious Organizations"
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,Affton,63123,MO,8025 Mackenzie Rd,19,3,"Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek"
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,Nashville,37207,TN,2312 Dickerson Pike,10,2,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food"
UJsufbvfyfONHeWdvAHKjA,Marshalls,Land O' Lakes,34639,FL,21705 Village Lakes Sc Dr,6,4,"Department Stores, Shopping, Fashion"
